building_ID,CVRMSE,NRMSE,MAE,MSE,Avg_Test_Loss
energy,0.28995670911130716,28.995670911130716,0.31742167765392004,0.21510366382106974,0.0569408230483532
energy,0.6746808787048288,67.46808787048288,0.08210598801536179,0.024035959004130848,0.21575261056423187
energy,0.8448801854580678,84.48801854580677,0.2606454454232974,0.15393804668544445,0.18824115991592408
energy,0.45290285289741605,45.290285289741604,0.7203141517781265,1.1378395874759943,0.17777896523475648
energy,0.27668842838701346,27.66884283870134,0.5357006934459,0.568416037621257,0.0278896389529109
energy,0.4899150364061709,48.99150364061708,0.27344193337106504,0.1376630182517159,0.1270037218928337
energy,0.330030158591126,33.0030158591126,0.25967957966354654,0.14459151926043845,0.024779558181762695
energy,0.44915363966947064,44.91536396694706,0.6272150466208402,1.0490436186512044,0.11885311752557755
energy,0.3426068115680314,34.260681156803145,0.2866850813463475,0.23302290636947326,0.03248790632933378
energy,0.37063079729515075,37.063079729515074,0.47584375552793523,0.43962454046570343,0.051572127640247344
energy,0.5405077622291764,54.05077622291765,0.15526743020337883,0.12033840467922154,0.05859355591237545
energy,0.6584416997016076,65.84416997016076,1.040018168147532,2.7258591906469434,0.16202134639024734
energy,0.958326381681974,95.8326381681974,0.3192054826785321,0.27179754138482065,0.12765161357820035
energy,0.2494400047133033,24.94400047133033,0.18525965298337793,0.09805448247019981,0.034669569320976736
energy,0.48146561331442783,48.14656133144279,0.29594298996981216,0.20165489279314006,0.09598530381917954
energy,0.295432589433687,29.5432589433687,0.6664243254584067,0.813954597533275,0.0498836550861597
energy,0.8102213726019658,81.02213726019657,0.23885899190840176,0.11729635351395404,0.2119937464594841
energy,0.5861544117007647,58.61544117007646,0.19803258964619927,0.12924369296992916,0.07213059291243554
energy,0.39392399229923103,39.39239922992311,0.12788942353599939,0.054491523158766965,0.1367848739027977
energy,0.3909740141830964,39.09740141830964,0.35209066947301476,0.2835745198260192,0.05529482960700989
energy,0.42455038697718595,42.45503869771859,0.2934439808835276,0.20044524838664007,0.05516401305794716
energy,0.39010664095411285,39.010664095411286,0.6854755625160218,1.1717514411590675,0.06996127665042877
energy,1.3370900679982423,133.7090067998242,0.18197641122869807,0.0983803223829077,0.08423480112105608
energy,0.5192410554041512,51.92410554041512,0.24534353870175257,0.17431580361764426,0.08067202121019364
energy,0.3994700362397198,39.94700362397198,0.46475996997912855,0.4033634419627847,0.12019586712121963
energy,0.2613974661320924,26.13974661320924,0.0889047684049585,0.027483637083999726,0.1619563430547714
energy,0.41821764760214986,41.82176476021498,0.5490748515209244,0.6279133047281552,0.0444958858191967
energy,1.2832494919020123,128.32494919020124,0.2242462394337074,0.16949735200155389,0.10748019218444824
energy,0.4485833252636541,44.85833252636541,1.4791046194729982,4.527772087920676,0.12238937169313431
energy,0.1496444008746587,14.964440087465869,0.09671380053532842,0.046818427063063314,0.012069029826670885
energy,0.5013530281180694,50.13530281180694,0.3912563105981389,0.30280588752316373,0.09910563454031944
energy,0.2851949707750554,28.51949707750554,0.21584417834529346,0.09076182375571036,0.03782013710588217
energy,0.2973150193942585,29.731501939425844,0.886670344826973,1.4981936590521736,0.12328961491584778
energy,0.830896277129557,83.0896277129557,0.11382097569934396,0.08241477530846825,0.10379256829619407
energy,0.4356467314463074,43.56467314463074,0.5695046006025465,0.6598562063619348,0.13131826668977736
energy,0.3055747502281361,30.557475022813616,0.8305676114386534,1.28266745076215,0.046327538415789606
