building_ID,CVRMSE,NRMSE,MAE,MSE,Avg_Test_Loss
energy,0.2251281248349176,22.51281248349176,27.972761378698113,1849.451537689723,0.07815217226743698
energy,0.19939592341477566,19.939592341477564,39.883951599749764,4478.188335835048,0.07032427440087001
energy,0.5658330901296457,56.58330901296458,64.93577540939278,9975.874388721884,0.1477290838956833
energy,0.18026128429583518,18.026128429583515,20.526197928978807,1029.2746595493477,0.05094870055715243
energy,0.04164374917496273,4.164374917496274,5.994964327072167,71.7122587592532,0.03679551680882772
energy,0.37812199995473417,37.81219999547342,266.84206374576326,166428.27913802493,0.1224710817138354
energy,0.10862719512191055,10.862719512191054,303.6282147743132,182473.67653730695,0.14245398342609406
energy,0.17914952199757983,17.914952199757984,84.99434581947466,17120.078955666544,0.13817385335763296
energy,0.10594528974661867,10.594528974661866,256.1258316133817,160229.3582409861,0.1158653845389684
energy,0.2943123646088147,29.43123646088147,286.782315197111,189575.4058544942,0.1694546788930893
