building_ID,CVRMSE,NRMSE,MAE,Avg_Test_Loss
energy,0.32997057,32.997055,0.41308105,0.08611668646335602
energy,0.36120164,36.120163,0.063519314,0.1787220984697342
energy,0.1920636,19.20636,0.085486606,0.06377989053726196
energy,0.2293463,22.93463,0.062878154,0.13158003985881805
energy,0.28733498,28.733494,0.3852135,0.08678434044122696
energy,0.49480247,49.480247,0.17820568,0.17002536356449127
energy,1.035801,103.58012,0.32611054,0.15813583135604858
energy,0.4161624,41.616234,0.009252019,0.11414825916290283
energy,0.587074,58.7074,0.20860659,0.1923840045928955
energy,0.6463963,64.639626,0.46641693,0.21715092658996582
energy,0.33808228,33.808228,0.08216812,0.04265393316745758
energy,0.36536637,36.536636,0.15363273,0.0775146633386612
energy,0.40321055,40.321053,0.12263998,0.22279642522335052
energy,0.6255379,62.553787,0.20370542,0.14329880475997925
energy,0.4072615,40.726147,0.10595183,0.12093687057495117
energy,0.3115421,31.154211,0.23533666,0.147243931889534
energy,0.1488608,14.88608,0.04763575,0.07473257929086685
energy,0.51878417,51.878414,0.6524686,0.2461344450712204
energy,0.7669307,76.69307,0.6008416,0.24682043492794037
energy,0.58002675,58.002678,0.19588637,0.23829449713230133
energy,0.20298895,20.298895,0.2485663,0.030410826206207275
energy,0.6118126,61.18126,0.21296224,0.1905854195356369
energy,0.6038671,60.386707,0.5978814,0.17373129725456238
energy,1.2176033,121.76033,0.21681778,0.11282628774642944
energy,0.37141046,37.14105,0.10609271,0.1792830377817154
energy,0.24890839,24.890839,0.07727083,0.10623745620250702
energy,0.32941473,32.94147,0.019172465,0.11352083832025528
energy,0.3452787,34.52787,0.12015687,0.1304103434085846
energy,0.018089967,1.8089962,0.0003795927,0.007568806875497103
energy,1.4748405,147.48404,0.20345287,0.16234470903873444
energy,0.5656239,56.56239,0.24455625,0.3028520345687866
energy,0.6260536,62.605362,0.24301864,0.26696163415908813
energy,0.43852502,43.852505,0.26569077,0.19286394119262695
energy,0.36446157,36.44616,0.06850804,0.05539844557642937
energy,0.41663268,41.66327,0.118958995,0.2173004001379013
energy,0.39308065,39.308064,0.38464814,0.11061003804206848
energy,0.31169435,31.169436,0.06826266,0.1862877905368805
energy,0.5426276,54.26276,0.32062307,0.1689019501209259
energy,1.0888113,108.88113,0.19214451,0.12515921890735626
energy,0.5284895,52.848946,0.13604921,0.2010846734046936
energy,0.3675783,36.75783,0.19283836,0.2200467437505722
energy,0.26230493,26.230494,0.06434349,0.2035512626171112
energy,0.44998813,44.99881,0.3188551,0.14182701706886292
energy,0.8435794,84.35794,0.29741982,0.18294291198253632
energy,0.43786263,43.786266,0.3644325,0.10499860346317291
energy,0.45624298,45.6243,0.14061232,0.22183600068092346
energy,0.40395012,40.39501,0.16353805,0.2445731908082962
energy,0.6674768,66.74767,0.21908516,0.146932452917099
energy,0.26885644,26.885645,0.09073539,0.19604668021202087
energy,0.5907423,59.074226,0.044732723,0.3212633728981018
energy,0.5132911,51.32911,0.18410592,0.1580238789319992
energy,0.44790798,44.7908,0.097266175,0.1675919145345688
energy,0.33247703,33.2477,0.42824355,0.15968778729438782
energy,0.3847913,38.47913,0.1551933,0.04690099507570267
energy,0.6046853,60.468533,0.1328081,0.2171493023633957
energy,0.8928375,89.28375,0.43414006,0.1918935924768448
energy,0.5644118,56.44118,0.1615279,0.10871592164039612
energy,0.33087906,33.087906,0.11188204,0.25241324305534363
energy,0.403693,40.369297,0.34264788,0.22211867570877075
energy,0.40607718,40.60772,0.08361152,0.04964263737201691
energy,1.3741616,137.41617,0.076573715,0.1392759382724762
energy,0.78773594,78.77359,0.45793077,0.16516177356243134
energy,0.43110234,43.110233,0.13924798,0.04790499061346054
energy,0.24226445,24.226444,0.0703247,0.1636623740196228
energy,0.48496658,48.496662,0.13665754,0.06909657269716263
energy,0.40810937,40.810936,0.29401532,0.06894075125455856
energy,0.28131863,28.13186,0.17780347,0.05558490753173828
energy,0.24566261,24.566261,0.2112941,0.11887925118207932
energy,0.37512022,37.512024,0.17153625,0.13538751006126404
energy,0.2034754,20.347542,0.09144578,0.17225560545921326
energy,0.30936742,30.93674,0.07005846,0.19414713978767395
energy,0.42710286,42.71029,0.54998034,0.07271979749202728
energy,0.20132846,20.132845,0.18593343,0.14315225183963776
energy,0.48155248,48.155247,0.25332192,0.1639285832643509
energy,0.3260048,32.60048,0.1474959,0.14373180270195007
energy,0.4423885,44.23885,0.12441565,0.18566879630088806
energy,0.51447517,51.447517,0.45880982,0.22554321587085724
energy,0.19933252,19.933252,0.155335,0.08729879558086395
energy,0.6550353,65.50353,0.05114743,0.10896581411361694
energy,0.5162738,51.62738,0.28176442,0.220868319272995
energy,0.018284487,1.8284482,0.00040837677,0.007384381256997585
energy,0.72274566,72.27456,0.37239444,0.1664464920759201
energy,0.76208705,76.20871,0.23000413,0.19830934703350067
energy,0.30450046,30.450047,0.4899201,0.09763012826442719
energy,0.13671361,13.671361,0.027335275,0.10629275441169739
energy,0.54540575,54.540577,0.15833724,0.19147250056266785
energy,0.21171471,21.171474,0.1142282,0.09870536625385284
energy,0.5562447,55.624462,0.23024613,0.2029331922531128
energy,0.42864513,42.864513,0.058966175,0.0642969161272049
energy,0.41078296,41.078297,0.3165901,0.30476614832878113
energy,0.20011021,20.01102,0.19967534,0.05631561949849129
energy,0.4044758,40.44758,0.30916107,0.08725767582654953
energy,0.31209347,31.209347,0.337315,0.07888280600309372
energy,0.122083195,12.20832,0.054848056,0.09466157853603363
energy,0.41401464,41.401463,0.26150626,0.2481645941734314
energy,0.38654074,38.654076,0.2544551,0.11975932866334915
energy,0.35614538,35.61454,0.1940404,0.1337416023015976
energy,0.3408622,34.08622,0.11873079,0.036507487297058105
energy,0.36865056,36.865055,0.32046068,0.11625602841377258
energy,0.3127683,31.27683,0.097895674,0.07959764450788498
energy,0.52923626,52.923622,0.12659338,0.19969268143177032
energy,0.5925158,59.251583,0.13292761,0.1537880152463913
energy,0.23512752,23.512754,0.073436506,0.016961857676506042
energy,0.13267793,13.267794,0.107824914,0.04973692074418068
energy,0.6727868,67.27867,0.21546076,0.21428021788597107
energy,1.2028683,120.28683,0.2849048,0.13150475919246674
energy,1.6658531,166.58531,0.15439795,0.10033073276281357
energy,0.20035395,20.035395,0.31323072,0.04292064160108566
energy,0.52016073,52.016075,0.37017858,0.2890927195549011
energy,0.32259712,32.259712,0.2615929,0.2605728507041931
energy,0.94517595,94.5176,0.232103,0.1271161139011383
energy,0.4444801,44.448006,0.21016866,0.13597112894058228
energy,0.15312202,15.3122015,0.03355401,0.1849115788936615
energy,0.018298322,1.8298318,0.00040894566,0.007399497088044882
energy,0.19834583,19.834583,0.06976873,0.09529974311590195
energy,0.11559776,11.559776,0.037739065,0.16856056451797485
energy,0.27266148,27.266148,0.19515398,0.05836635082960129
energy,0.2934033,29.34033,0.44178495,0.13460205495357513
energy,0.5525514,55.25514,0.23459947,0.18803919851779938
energy,1.5927516,159.27516,0.21683198,0.15997061133384705
energy,0.35778835,35.77883,0.42043364,0.06991148740053177
energy,1.930508,193.0508,0.18811248,0.0915481448173523
energy,0.7468865,74.688644,0.15665075,0.2030712217092514
energy,0.6831559,68.31559,0.341239,0.171891450881958
energy,0.46929324,46.92932,0.111133054,0.23225155472755432
energy,0.37293687,37.293686,0.168809,0.08043552935123444
energy,0.27222586,27.222588,0.09051528,0.09582246094942093
energy,0.38946483,38.94648,0.38778254,0.13028468191623688
energy,0.11586118,11.586117,0.023000874,0.06982742995023727
energy,1.030036,103.003586,0.21802343,0.15518991649150848
energy,0.38772357,38.772354,0.17041852,0.08764193952083588
energy,0.26783714,26.783714,0.10871113,0.05123841017484665
energy,0.9242932,92.42931,0.33784732,0.15336452424526215
energy,0.63548106,63.548107,0.10414724,0.12111305445432663
energy,0.30975696,30.975698,0.18833657,0.07706690579652786
energy,1.1045516,110.455154,0.16807094,0.15165890753269196
energy,0.4310568,43.105682,0.31344083,0.12029844522476196
energy,0.4609804,46.098034,0.20532958,0.17699527740478516
energy,0.7919931,79.19932,0.31071228,0.2449217438697815
energy,0.31496975,31.496977,0.38202187,0.10332407802343369
energy,0.6603527,66.03527,0.29232684,0.2964783310890198
energy,0.18436596,18.436594,0.111760385,0.13638214766979218
energy,0.21068007,21.068008,0.1276361,0.1520262360572815
energy,0.25556847,25.556847,0.18010081,0.05219219624996185
energy,0.42744476,42.744476,0.08041099,0.04560505971312523
energy,0.20922188,20.922188,0.17241278,0.045727722346782684
energy,0.2713033,27.130331,0.071096525,0.121198371052742
energy,0.3015931,30.159311,0.23041736,0.095662921667099
energy,0.61455226,61.455223,0.6845164,0.21636758744716644
energy,0.25504744,25.504742,0.21206088,0.12564130127429962
