building_ID,CVRMSE,NRMSE,MAE,MSE,Avg_Test_Loss
energy,0.10937899384811632,10.937899384811633,0.13778687089023145,0.13852270004451608,0.17104418231002683
energy,0.5460456035661058,54.60456035661057,0.03685756836782955,0.02677327341076927,0.2351657945638408
energy,0.08161254990807777,8.161254990807778,0.15747548188794608,0.16986554546929966,0.17282993671250324
energy,0.14725321080228015,14.725321080228017,0.18801758764992932,0.2664441682885151,0.2034244482161398
energy,0.11748853390241612,11.748853390241614,0.18432347083012876,0.23533818605381032,0.19621433600991622
energy,0.16430723771332342,16.430723771332346,0.06686962652348627,0.038661443583897295,0.21402414090982802
energy,0.1169722723243395,11.69722723243395,0.1519375874569256,0.17791183123761034,0.10619528229955222
energy,0.10924639576516214,10.924639576516213,0.15135120913356176,0.1487915769148079,0.19344485320652893
energy,0.12032708522258113,12.032708522258114,0.12917575426559685,0.15700547133417275,0.03487682785424795
energy,0.13076685564143758,13.076685564143759,0.17223876205286667,0.21396004735654528,0.07381944875550062
energy,0.19288608721673117,19.28860872167312,0.09773541041277725,0.07643530797240242,0.2146831851295019
energy,0.19012399355995754,19.012399355995754,0.22013793005521148,0.41223192000833897,0.20628386950329514
energy,0.1449733743488265,14.497337434882652,0.15656255916397396,0.17255263246540517,0.2576741925910824
energy,0.1434538691222406,14.345386912224061,0.15578866229226698,0.16882867133368942,0.23955813120051062
energy,0.44940764748669737,44.94076474866975,0.04325382556389993,0.021751673261475344,0.2632258488250159
energy,0.14688343074331323,14.688343074331323,0.1275472941208895,0.12139742124713697,0.17706146822371238
energy,0.16471161355409786,16.471161355409784,0.23123350227238165,0.39647606125124074,0.1766860183394101
energy,0.09849006915599683,9.849006915599682,0.22263334563499962,0.3415215650871541,0.08161804819587815
energy,0.21622298838357012,21.622298838357015,0.1803814282438918,0.1484180906370339,0.0633541257838317
energy,0.1237757560733541,12.377575607335412,0.20323155671584733,0.1882990718508188,0.09476979358279891
energy,0.2946629982505575,29.466299825055742,0.04875298298139507,0.02078826937854421,0.1600697787908274
energy,0.18912077533427088,18.91207753342709,0.16300070674071093,0.10348286300384948,0.144173258545635
energy,0.18468413197552758,18.468413197552756,0.042369671964872714,0.019711529157587455,0.18999186385360645
energy,0.16916756609490435,16.916756609490434,0.231949011365768,0.44561512910985274,0.21027480569756563
energy,0.11934463671886421,11.934463671886421,0.12512543021089811,0.10216041165853396,0.12562460505552053
energy,0.22317908836482445,22.317908836482445,0.040623243811454705,0.025593772266526222,0.12149066812423825
energy,0.11297565792841066,11.297565792841066,0.19720732658974002,0.29842682437982865,0.20130855034335582
energy,0.08993832529795567,8.99383252979557,0.13007150601203687,0.11134119098410228,0.1660762556830946
energy,0.16060181731728246,16.060181731728246,0.14980670287042794,0.16981402478178279,0.23452665161630648
