building_ID,CVRMSE,NRMSE,MAE,Avg_Test_Loss
energy,0.35301104,35.301105,2.1292214,0.10136386007070541
energy,0.11727322,11.727322,0.39081636,0.0057762060314416885
energy,0.10639827,10.639827,0.16907139,0.004664336796849966
energy,0.33475208,33.47521,0.57183415,0.2357134073972702
energy,0.23289691,23.28969,0.80061287,0.3527801036834717
energy,0.123404555,12.340456,0.39179975,0.10692285746335983
energy,2.0162137,201.62137,0.25425178,0.2159842997789383
energy,0.19735637,19.735636,0.11911634,0.10049606114625931
energy,1.5084279,150.84277,1.1813573,0.20185881853103638
energy,0.30901548,30.901548,0.5141104,0.03809617459774017
energy,1.1636696,116.36696,0.5999502,0.21450790762901306
energy,0.21561942,21.561941,0.9353957,0.16612306237220764
energy,0.3567314,35.67314,0.64052474,0.1993936449289322
energy,0.20651881,20.651882,1.2174085,0.03830533102154732
energy,0.13567463,13.567463,0.33623078,0.00852291751652956
energy,0.24643475,24.643475,0.16015759,0.11104217171669006
energy,0.3406806,34.06806,0.29982677,0.11400177329778671
energy,0.38988176,38.98818,1.5445399,0.17110596597194672
energy,0.87540704,87.5407,0.18548937,0.11763268709182739
energy,0.4037786,40.37786,0.7116264,0.10875985026359558
energy,0.10214477,10.214477,0.13704284,0.0051667108200490475
energy,0.20325732,20.325731,0.5772246,0.13841339945793152
energy,0.49026853,49.02685,0.9379818,0.10639142245054245
energy,0.34912547,34.912548,0.40906772,0.05626542493700981
energy,0.10778098,10.778098,0.2858241,0.04930469021201134
energy,0.32396418,32.396416,0.8056089,0.15177315473556519
energy,0.21340823,21.340824,0.495252,0.06273628771305084
energy,0.18369439,18.36944,0.9438808,0.09267759323120117
energy,0.51649106,51.64911,0.49670714,0.11507047712802887
energy,0.33453408,33.453407,0.60585237,0.20258046686649323
energy,0.28821623,28.82162,0.98534614,0.03861617669463158
energy,0.49571195,49.571198,0.49310365,0.07448140531778336
energy,0.6410652,64.10652,0.16736726,0.2413741648197174
energy,0.27518994,27.518991,0.944533,0.0644681379199028
energy,0.12254767,12.254766,0.7460352,0.15504507720470428
energy,0.38066444,38.06644,0.63572854,0.07011954486370087
energy,1.2296569,122.96569,0.90066487,0.18561036884784698
energy,0.14325774,14.325774,0.6507631,0.04295458272099495
energy,0.13572487,13.572486,0.06473266,0.0077387867495417595
energy,0.1393553,13.93553,0.11584275,0.008165244944393635
energy,0.5301467,53.01467,0.5389843,0.09456245601177216
