building_ID,CVRMSE,NRMSE,MAE,MSE,Avg_Test_Loss
energy,0.5313618876900381,53.13618876900381,0.19221301277127975,0.08505200328471907,0.14493351057171822
energy,0.42052412432822733,42.05241243282273,0.13140736635190944,0.03725538142109727,0.18358365446329117
energy,0.4695383020866818,46.953830208668165,0.1625469227652351,0.05934339269553784,0.12876036390662193
energy,0.45060245138477417,45.06024513847741,0.18963506286678591,0.0811363326681091,0.11372982710599899
energy,0.21517208270626206,21.517208270626206,0.08732452729040807,0.0166137594549817,0.046005554497241974
energy,0.5061997617528639,50.61997617528638,0.1945423439734055,0.08132132799471659,0.16445409506559372
energy,0.5104434159847915,51.04434159847914,0.19644850009264728,0.09663825463742508,0.14753905683755875
energy,0.4301593362512213,43.01593362512213,0.12386492846180445,0.03417137042218681,0.17584539949893951
energy,0.007910956489672674,0.7910956489672674,0.014863137139509396,0.00041759014628832213,0.05339675769209862
energy,0.4388515813884564,43.88515813884563,0.1727782388125754,0.06587816533299307,0.16223613917827606
energy,0.550591868974179,55.059186897417895,0.1609648563748299,0.06907926752808742,0.17716188356280327
energy,0.28000695374702755,28.000695374702754,0.08741496885731813,0.01801061217918319,0.05035160668194294
