building_ID,CVRMSE,NRMSE,MAE,Avg_Test_Loss
energy,0.6979052,69.79052,0.114639334,0.16360574960708618
energy,0.9550704,95.507034,0.22790116,0.2099980264902115
energy,0.7189307,71.893074,0.17805,0.1202470064163208
energy,1.1585848,115.85848,0.19387314,0.164754718542099
energy,0.9592204,95.92203,0.08233281,0.14516150951385498
energy,1.9844971,198.44969,0.07395654,0.10822013020515442
energy,0.5245995,52.459946,0.0378432,0.1353689730167389
energy,0.7096368,70.96367,0.03287989,0.05731431767344475
energy,0.8822313,88.22313,0.10130938,0.15986593067646027
energy,0.67509156,67.509155,0.3778554,0.1752334088087082
energy,0.97177696,97.1777,0.13544595,0.18889448046684265
energy,0.76390564,76.39054,0.010332985,0.06393979489803314
energy,1.1335782,113.357796,0.072975926,0.12723632156848907
energy,1.1512996,115.12996,0.20082064,0.20211955904960632
energy,0.6120951,61.209507,0.06461345,0.12667080760002136
energy,0.73570126,73.57013,0.15411462,0.15192928910255432
energy,1.0310965,103.109634,0.077647395,0.1352004110813141
energy,1.2705444,127.054436,0.28146553,0.16645139455795288
energy,0.5063415,50.63415,0.29672083,0.034461285918951035
energy,0.66637284,66.637276,0.11670896,0.13475540280342102
energy,0.86723065,86.72307,0.32125795,0.19239716231822968
energy,0.69927824,69.92782,0.41492385,0.11476034671068192
energy,0.90159184,90.15918,0.163733,0.12441745400428772
energy,1.6466209,164.66208,0.03977892,0.1091960221529007
energy,1.0733058,107.330574,0.10589991,0.12727539241313934
energy,0.61859775,61.85978,0.32951462,0.15515977144241333
energy,1.0433377,104.33377,0.15345566,0.1735515147447586
energy,0.8705876,87.05875,0.19949058,0.12007461488246918
energy,0.76632816,76.63281,0.2007741,0.15721118450164795
energy,0.8100311,81.00312,0.20477901,0.14014868438243866
energy,0.66559315,66.55931,0.2343571,0.16039018332958221
energy,1.2773856,127.738556,0.13789563,0.15744175016880035
energy,0.60989106,60.989105,0.104158044,0.11750989407300949
energy,0.8701834,87.01834,0.101141684,0.16757041215896606
energy,1.0178834,101.78834,0.057736903,0.12669116258621216
energy,1.1583896,115.83895,0.098631844,0.16537530720233917
energy,1.4729457,147.29456,0.070149586,0.1369255930185318
energy,0.752673,75.267296,0.03901114,0.14485573768615723
energy,1.6689377,166.89375,0.04041122,0.12624317407608032
energy,0.743384,74.3384,0.06277212,0.16411973536014557
energy,0.949247,94.924706,0.15404302,0.16857574880123138
energy,0.676989,67.698906,0.17645632,0.14743487536907196
energy,0.6731825,67.318245,0.23849738,0.17835824191570282
energy,2.30858,230.85797,0.063305154,0.09956476837396622
energy,0.95044166,95.044174,0.22363943,0.18947887420654297
energy,3.0473084,304.73083,0.041292537,0.08046996593475342
energy,0.6783916,67.83916,0.03998451,0.08158455789089203
energy,0.46927068,46.92707,0.08073375,0.1306590437889099
energy,0.7658455,76.58453,0.0121827135,0.06875045597553253
energy,1.028553,102.85529,0.15554954,0.1890454888343811
energy,0.698149,69.814896,0.04218423,0.07602982223033905
energy,0.8787022,87.870224,0.10847796,0.11921823769807816
energy,0.86826175,86.826164,0.059982788,0.13047148287296295
energy,1.2378197,123.78196,0.17003231,0.17396537959575653
energy,1.2725316,127.25316,0.14175394,0.17481999099254608
energy,0.53574985,53.574986,0.121059634,0.15600140392780304
energy,0.9239709,92.397095,0.10824178,0.11923786252737045
energy,1.0895399,108.95399,0.27700323,0.2184162586927414
energy,0.906255,90.625496,0.17398857,0.17514082789421082
energy,2.0021133,200.21132,0.059244778,0.11528847366571426
energy,1.1786623,117.86622,0.13760197,0.1526588797569275
energy,4.365347,436.53427,0.0064067827,0.06192956119775772
energy,0.561983,56.1983,0.3635966,0.14880217611789703
energy,1.1667261,116.6726,0.11607718,0.16232652962207794
energy,1.5542239,155.42236,0.04741569,0.13139258325099945
energy,1.1435941,114.359406,0.08211602,0.14302115142345428
energy,1.164992,116.499176,0.05918952,0.14048613607883453
energy,0.969451,96.94509,0.081818596,0.11431695520877838
energy,0.8002711,80.0271,0.07592183,0.1069297268986702
energy,0.8639714,86.397125,0.045677554,0.13225677609443665
energy,0.87902576,87.90257,0.2309792,0.20065626502037048
energy,0.46072417,46.07242,0.15474086,0.12489258497953415
energy,0.8533226,85.33226,0.19097596,0.19506344199180603
energy,0.6474366,64.74366,0.13838129,0.14557988941669464
energy,1.9433771,194.33768,0.087188035,0.14319710433483124
energy,0.68812716,68.81271,0.22005787,0.14744848012924194
energy,0.83159846,83.15985,0.25010157,0.18246248364448547
energy,1.1894727,118.94727,0.16053328,0.2096550166606903
energy,0.7392423,73.92423,0.08613595,0.12413899600505829
energy,0.84931463,84.931465,0.1291044,0.1871027648448944
energy,0.7382191,73.821915,0.42120457,0.17428311705589294
energy,0.8017931,80.179306,0.25069585,0.2062758058309555
energy,0.58932567,58.93256,0.06397106,0.09627807885408401
energy,0.99931866,99.931854,0.0823868,0.1552790403366089
energy,0.98553145,98.55313,0.072738245,0.12117905169725418
energy,0.8557967,85.57967,0.19751799,0.14719563722610474
energy,0.8633408,86.33408,0.13241234,0.18985223770141602
