Dataset,NRMSE,MAE,MSE
NEEA,60.703938368736246,1.0589748043888005,3.931433819784676
HUE,34.538151708037056,0.10101714709634299,0.09040550305557044
iFlex,14.688343074331323,0.1519375874569256,0.15700547133417275
Plegma,87.2301426357234,39.87122935829545,10489.27921855724
ECCC,59.254757532869945,0.7621466300422003,1.240671022389897
PSS,60.441919444372274,3.1659593418507566,18.69661615319841
LEC,148.60718726301388,0.04064402062433203,0.032814403342288426
DTH,22.589927503640464,0.4742802557079878,0.6755467819318879
IBlend,21.57280440248035,51.08716328718951,17994.854004092587
UKST,51.151990820529115,0.10375976159695655,0.0528590932417572
Enernoc,18.98286038553054,74.96506061443372,13547.976672194214
SKC,24.49778008280296,2199.1742550142694,8991822.943597276
SGSC,50.8009379242081,0.12856098309854008,0.08743810516684955
HES,42.65359332755659,1.156923545610607,9.950210461908181
UNICON,14.110402385493256,5.268549490156584,123.40742630573004
GoiEner,50.916476784039205,0.03032727050066867,0.010851468159096607
Norwegian,43.00985592117466,0.29469348542666984,0.2083792783071049
RSL,32.24199210280416,0.06948451327074576,0.0314279650216068
DGS,13.135948761830397,3.4162095539413557,60.39410157783496
ENERTALK,23.876663591918437,1690.7342296732631,15799368.061674453
PES,39.74632884175974,0.16425371547237622,0.12095837534824727
DESM,59.63880206954735,1.8906058344370353,10.704092940396386
HSG,2.0079428688632808,30122.085668482643,56718800753.7156
NESEMP,54.3733974762022,1.0575628499215304,5.601006565615819
BDG-2,10.159435190626905,4.337840480900199,54.76642718749154
SAVE,1.9492885522739125,45.01500050677926,40729.19579553559
IRH,74.38690314032249,13.18806525333063,526.2196263182861
